System ID,UPC,EAN,Custom SKU,Manufact. SKU,Category,Description,Stock,Sold,Subtotal,Discounts,Subtotal w/ Discounts,Total,Cost,Profit,Margin
210000004012,4712831655125,,48-023-10,,Product,Bottle Cage Bolts Gold,-3,7,$18.20,$0.00,$18.20,$20.56,$18.20,$0.00,0%
210000004013,621920480354,,48-023-87,,Product,Water Bottle Cage Holder Black,1,4,$44.00,$0.00,$44.00,$49.72,$23.12,$20.88,47.45%
210000004014,621920240026,,24-200-34,,Product,Gear For Steady Hub 16 T,1,1,$5.78,$0.00,$5.78,$6.53,$5.78,$0.00,0%
210000004015,621920267665,,,26-832-09,Product,"Rear Wheel 26"" Black Freewheel Nut",0,4,$260.00,$0.00,$260.00,$293.80,$128.04,$131.96,50.75%
210000004016,,,26-632-31,,Product,Rear 29 Double Wall Black Disc QR,0,5,$510.00,$0.00,$510.00,$576.30,$263.30,$246.70,48.37%
210000004017,,,26-532-95,,Product,Rear Wheel 26 Black Double Wall QR,0,6,$275.72,$0.00,$275.72,$311.56,$154.32,$121.40,44.03%
210000004018,,,26-532-90,,Product,"26"" ALLOY SILVER (DOUBLE WALL) (REAR / ALLOY FREEW.NUT)",1,3,$160.00,$0.00,$160.00,$180.80,$75.48,$84.52,52.83%
210000004019,,,26-532-07,,Product,REAR SILVER  DISC 6 BOLTS 700C QR,0,2,$172.00,$0.00,$172.00,$194.36,$91.28,$80.72,46.93%
210000004020,,,26-530-68,,Product,Front Wheel 26 Silver Double Wall Nutted,0,3,$150.00,$0.00,$150.00,$169.50,$66.78,$83.22,55.48%
210000004021,,,26-432-47,,Product,REAR / DEORE 475 DISC 6 BOLTS 700c,0,3,$301.00,$0.00,$301.00,$340.13,$176.97,$124.03,41.21%
210000004022,,,26-432-08,,Product,Rear 26 Rhyno Blk Freewheel QR,0,2,$174.00,$0.00,$174.00,$196.62,$92.40,$81.60,46.90%
210000004023,,,26-432-06,,Product,Rear Ryhno Lite 26 Silver Cass 7s QR,0,1,$100.00,$0.00,$100.00,$113.00,$52.32,$47.68,47.68%
210000004024,621920263735,,26-430-92,,Product,26'' FRONT / ALLOY QR DBL WALL SILVER,0,3,$135.00,$0.00,$135.00,$152.55,$70.14,$64.86,48.04%
210000004025,,,26-430-49,,Product,Front Silver 26 Nutted CR18,0,1,$31.17,$0.00,$31.17,$35.22,$31.17,$0.00,0%
210000004026,,,26-131-16,,Product,Rear 26 Black Freewheel Nutted,2,4,$196.00,$6.63,$189.37,$213.99,$102.39,$86.98,45.93%
